hdong,행정동_코드,자치구_코드,longitude,latitude,자치구명
독산1동,11545610,11545,126.89249163153224,37.464306073652146,금천구
독산2동,11545620,11545,126.90273314117329,37.46394553258966,금천구
독산3동,11545630,11545,126.90460578412556,37.47578633583591,금천구
독산4동,11545640,11545,126.904094190848,37.46917250828416,금천구
시흥1동,11545670,11545,126.90014866846398,37.45241042141484,금천구
시흥2동,11545680,11545,126.9198266936059,37.450902696208864,금천구
시흥3동,11545690,11545,126.90599582012102,37.44008033489764,금천구
시흥4동,11545700,11545,126.90930517370276,37.46006739908837,금천구
시흥5동,11545710,11545,126.91236037124509,37.44746453361467,금천구
영등포본동,11560515,11560,126.90953442700886,37.51367754120802,영등포구
영등포동,11560535,11560,126.90760179056504,37.52159586265854,영등포구
여의동,11560540,11560,126.92846623759736,37.528503008419,영등포구
당산1동,11560550,11560,126.8967841339902,37.523902480304685,영등포구
당산2동,11560560,11560,126.902370554983,37.53410656554908,영등포구
도림동,11560585,11560,126.90055953404418,37.50911124604306,영등포구
문래동,11560605,11560,126.89105938739388,37.516527137234625,영등포구
양평1동,11560610,11560,126.88671359553447,37.52546099340308,영등포구
양평2동,11560620,11560,126.8905901573037,37.543502676685975,영등포구
신길1동,11560630,11560,126.91947815339368,37.51243234306483,영등포구
신길3동,11560650,11560,126.90577720449866,37.50624131847006,영등포구
신길4동,11560660,11560,126.91293521370748,37.50723791646705,영등포구
신길5동,11560670,11560,126.90551242130992,37.50096121617549,영등포구
신길6동,11560680,11560,126.9134875775257,37.49902115324461,영등포구
신길7동,11560690,11560,126.91962080109202,37.50598124809875,영등포구
대림1동,11560700,11560,126.90521627760396,37.493680848732666,영등포구
대림2동,11560710,11560,126.90050622284808,37.48962244423952,영등포구
대림3동,11560720,11560,126.89714500493702,37.49999916114727,영등포구
노량진1동,11590510,11590,126.94895432734992,37.512232518146575,동작구
노량진2동,11590520,11590,126.93781424178611,37.51095676265954,동작구
상도1동,11590530,11590,126.95332891920636,37.498385877158825,동작구
상도2동,11590540,11590,126.94182382625156,37.50370571617819,동작구
상도3동,11590550,11590,126.93292872734752,37.497565150649656,동작구
상도4동,11590560,11590,126.94067522441908,37.49742513371454,동작구
흑석동,11590605,11590,126.96223664344198,37.50542591563825,동작구
사당1동,11590620,11590,126.97751253465732,37.47978714539723,동작구
사당2동,11590630,11590,126.97482719240736,37.49719407571352,동작구
사당3동,11590640,11590,126.97097424833213,37.48875075469879,동작구
사당4동,11590650,11590,126.97076260910686,37.48054251560181,동작구
사당5동,11590651,11590,126.96496015994484,37.485802827843905,동작구
대방동,11590660,11590,126.92804576078878,37.506905705490965,동작구
신대방1동,11590670,11590,126.91067114142444,37.48998196011976,동작구
신대방2동,11590680,11590,126.92169112647883,37.49455788435131,동작구
보라매동,11620525,11620,126.9326411454976,37.490392972232215,관악구
청림동,11620545,11620,126.95948563044138,37.48955828055496,관악구
성현동,11620565,11620,126.95105032779048,37.48954607668512,관악구
행운동,11620575,11620,126.9605530395309,37.48097203245596,관악구
낙성대동,11620585,11620,126.959847861211,37.467690907633475,관악구
청룡동,11620595,11620,126.94581200028097,37.47805593186479,관악구
은천동,11620605,11620,126.9420968434686,37.48700118580526,관악구
